Id,Keynote,TypeIfcGUID,Model,Manufacturer,TypeComments,URL,Description,VisualLightTransmittance,SolarHeatGainCoefficient,ThermalResistanceR,HeatTransferCoefficientU,OmniClassNumber,AssemblyCode,FamilyName,TypeName,TypeMark,RoughWidth,RoughHeight,Width,Height,Operation,ConstructionType,Cost
60407,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"36"" x 48""",1,,,0.9144,1.2192,,,
60409,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"24"" x 48""",2,,,0.6096,1.2192,,,
60411,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"24"" x 24""",3,,,0.6096,0.6096,,,
60413,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"16"" x 24""",4,,,0.4064,0.6096,,,
60415,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"16"" x 48""",5,,,0.4064,1.2192,,,
60417,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"16"" x 72""",6,,,0.4064,1.8288,,,
60419,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"24"" x 72""",7,,,0.6096,1.8288,,,
60421,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"36"" x 24""",8,,,0.9144,0.6096,,,
60423,,,,,,,,0.9,0.78,0.271105569,3.6886,23.30.20.17.11,B2020100,Fixed,"36"" x 72""",9,,,0.9144,1.8288,,,
341490,,,,,,,,0.81,0.76,0.319561231,3.129290739,23.30.20.17.17.14,B2020100,Window-Double-Hung,"24"" x 42""",10,0.6223,1.0795,0.6096,1.0668,,,
341492,,,,,,,,0.81,0.76,0.319561231,3.129290739,23.30.20.17.17.14,B2020100,Window-Double-Hung,"26"" x 42""",11,0.6731,1.0795,0.6604,1.0668,,,
341494,,,,,,,,0.81,0.76,0.319561231,3.129290739,23.30.20.17.17.14,B2020100,Window-Double-Hung,"28"" x 46""",12,0.7239,1.1811,0.7112,1.1684,,,
341496,,,,,,,,0.81,0.76,0.319561231,3.129290739,23.30.20.17.17.14,B2020100,Window-Double-Hung,"30"" x 46""",13,0.7747,1.1811,0.762,1.1684,,,
346383,,,,,,,,,,,,23.30.20.17.21.14,B2020100,Window-Casement-Double,"34"" x 36""",14,0.8763,0.9271,0.8636,0.9144,,,
346385,,,,,,,,,,,,23.30.20.17.21.14,B2020100,Window-Casement-Double,"41"" x 53""",15,1.0541,1.3589,1.0414,1.3462,,,
346387,,,,,,,,,,,,23.30.20.17.21.14,B2020100,Window-Casement-Double,"48"" x 60""",16,1.2319,1.5367,1.2192,1.524,,,
346389,,,,,,,,,,,,23.30.20.17.21.14,B2020100,Window-Casement-Double,"57"" x 72""",17,1.4605,1.8415,1.4478,1.8288,,,
